,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
146,Mutare,100,MZ,1575590701,89,-18.97,32.67,17.31,1.65
147,East London,44,ZA,1575590701,77,-33.02,27.91,19.02,8.48
148,Upernavik,0,GL,1575590702,67,72.79,-56.15,-13.94,6.73
149,Kaitangata,100,NZ,1575590702,77,-46.28,169.85,13.89,5.53
150,Constitucion,40,MX,1575590702,10,23.99,-104.67,26.0,1.0
151,Vila Franca do Campo,20,PT,1575590702,76,37.72,-25.43,14.0,2.6
152,Klaksvik,100,FO,1575590702,64,62.23,-6.59,4.0,5.1
153,Bay Roberts,90,CA,1575590702,92,47.58,-53.28,2.22,6.7
154,Saint-Joseph,90,FR,1575590673,87,43.56,6.97,11.0,1.5
155,Malangali,100,TZ,1575590702,81,-8.57,34.85,16.93,5.7
156,Barth,40,DE,1575590702,86,54.37,12.73,1.0,4.6
157,Tura,100,RU,1575590702,96,64.27,100.22,-20.69,1.68
158,Hasaki,75,JP,1575590681,86,35.73,140.83,6.0,6.2
159,Bom Jesus do Galho,75,BR,1575590703,83,-19.83,-42.32,27.0,4.1
160,Pushkino,90,RU,1575590703,93,56.01,37.85,2.78,8.0
161,Arzgir,21,RU,1575590703,70,45.37,44.21,-0.42,4.93
162,Taoudenni,18,ML,1575590703,26,22.68,-3.98,17.02,2.26
163,Thompson,40,CA,1575590703,83,55.74,-97.86,-24.0,2.6
164,Henties Bay,68,NA,1575590703,90,-22.12,14.28,18.33,1.34
165,Khatanga,0,RU,1575590703,86,71.98,102.47,-30.86,5.98
166,Bethel,90,US,1575590452,92,60.79,-161.76,-9.0,5.1
167,Vazante,100,BR,1575590703,93,-17.99,-46.9,21.73,1.06
168,Sorland,100,NO,1575590539,66,67.67,12.69,4.68,12.34
169,Shimoda,75,JP,1575590704,66,34.7,138.93,11.0,4.1
170,Deep River,90,CA,1575590704,68,46.1,-77.49,-4.0,3.6
171,Kahului,40,US,1575590704,51,20.89,-156.47,29.0,10.3
172,Ponta do Sol,100,BR,1575590695,97,-20.63,-46.0,19.92,0.29
173,Tasiilaq,0,GL,1575590695,58,65.61,-37.64,-4.0,2.1
174,Ballina,100,IE,1575590704,95,54.11,-9.15,11.11,3.58
175,Saint George,75,GR,1575590697,87,39.45,22.34,8.0,0.7
176,Asuncion,17,PY,1575590704,44,-25.3,-57.63,25.0,4.6
177,New London,90,US,1575590704,74,41.36,-72.1,4.0,3.1
178,Vila Velha,97,BR,1575590704,74,-3.71,-38.6,27.22,3.1
179,Tiksi,100,RU,1575590704,100,71.64,128.87,-25.33,1.52
180,Hammerfest,75,NO,1575590705,81,70.66,23.68,0.0,4.1
181,Ambunti,97,PG,1575590705,76,-4.22,142.82,28.17,1.62
182,Tawang,31,BT,1575590705,33,27.59,91.87,-4.27,1.75
183,Barra dos Coqueiros,20,BR,1575590705,74,-10.91,-37.04,27.0,5.7
184,Kavaratti,7,IN,1575590684,73,10.57,72.64,28.1,5.15
185,Sassandra,93,CI,1575590705,89,4.95,-6.09,25.85,3.78
186,Buchanan,20,LR,1575590705,94,5.88,-10.05,26.0,1.81
187,Ryotsu,75,JP,1575590705,80,38.08,138.43,4.0,1.5
188,Pisco,48,PE,1575590540,30,-13.71,-76.2,22.0,9.3
189,Lagoa,24,PT,1575590705,62,37.14,-8.45,14.0,3.1
190,Makakilo City,75,US,1575590683,69,21.35,-158.09,28.0,4.1
191,Longkou,11,CN,1575590706,73,37.64,120.47,-4.86,1.7
192,Aklavik,90,CA,1575590706,71,68.22,-135.01,-16.0,5.1
193,Ligayan,89,PH,1575590706,77,4.65,119.47,28.11,2.84
194,Luleburgaz,40,TR,1575590671,93,41.4,27.36,4.0,3.6
195,Mengcheng,0,CN,1575590706,72,33.26,116.57,0.83,3.99
196,Bogorodskoye,96,RU,1575590706,98,52.37,140.44,-24.62,1.98
197,Datong,20,CN,1575590706,79,40.09,113.3,-10.32,1.25
198,Vangaindrano,80,MG,1575590707,93,-23.35,47.6,20.54,2.24
199,Lorengau,38,PG,1575590707,73,-2.02,147.27,29.06,2.67
200,Kavieng,84,PG,1575590671,68,-2.57,150.8,28.91,0.72
201,Norman Wells,20,CA,1575590707,73,65.28,-126.83,-34.0,1.5
202,Goundam,10,ML,1575590707,16,16.42,-3.66,23.75,3.63
203,Kaniama,96,CD,1575590707,98,-7.57,24.18,17.71,1.45
204,Cidreira,6,BR,1575590707,69,-30.17,-50.22,20.04,5.67
205,Naze,21,NG,1575590672,89,5.43,7.07,24.43,1.59
206,Qaqortoq,93,GL,1575590707,40,60.72,-46.03,-8.0,3.19
207,Churapcha,100,RU,1575590707,97,62.0,132.43,-38.76,2.44
208,Merritt Island,1,US,1575590592,82,28.54,-80.67,18.0,2.6
209,Buraydah,40,SA,1575590708,63,26.33,43.97,17.0,3.1
210,Nerchinskiy Zavod,99,RU,1575590708,96,51.31,119.61,-25.46,0.86
211,Ponta Delgada,20,PT,1575590672,76,37.73,-25.67,14.0,2.6
212,Saint-Pierre,90,FR,1575590699,83,48.95,4.24,0.0,4.1
213,Zhuhai,3,CN,1575590708,84,40.71,112.04,-18.0,2.0
214,Beringovskiy,100,RU,1575590708,88,63.05,179.32,-3.17,11.73
215,Harrismith,100,ZA,1575590708,93,-28.27,29.13,9.95,3.26
216,Aitape,100,PG,1575590708,76,-3.15,142.36,27.52,3.5
217,Floro,100,NO,1575590708,86,61.6,5.03,5.0,4.1
218,Lockhart,100,AU,1575590708,42,-35.22,146.72,21.0,4.6
219,Kristiansund,65,NO,1575590709,86,63.12,7.73,3.0,8.2
220,Ariquemes,47,BR,1575590709,63,-9.91,-63.03,27.71,0.26
221,Tamandare,100,BR,1575590709,98,-8.28,-70.75,22.97,0.94
222,Monroe,75,US,1575590597,80,41.91,-83.4,4.0,2.97
223,Clyde River,90,CA,1575590709,76,70.47,-68.59,-22.0,4.6
224,Mildura,0,AU,1575590688,55,-34.18,142.16,17.0,3.1
225,Husavik,44,CA,1575590709,81,50.56,-96.99,-8.89,3.13
226,Catuday,0,PH,1575590709,83,16.29,119.81,26.66,5.15
227,Iqaluit,75,CA,1575590678,77,63.75,-68.52,-14.0,3.6
228,Rundu,78,NA,1575590710,94,-17.91,19.77,21.0,1.5
229,Solnechnyy,0,RU,1575590710,86,50.72,136.64,-22.51,2.15
230,Milkovo,0,BG,1575590710,92,41.53,24.68,5.56,0.66
231,Sur,0,OM,1575590710,61,22.57,59.53,21.37,4.27
232,Pimentel,69,BR,1575590710,89,-3.7,-45.5,24.12,2.26
233,Rivne,0,UA,1575590701,61,50.62,26.25,-1.01,3.37
234,Leningradskiy,100,RU,1575590710,83,69.38,178.42,-8.7,5.56
235,Nouadhibou,75,MR,1575590710,77,20.93,-17.03,19.0,5.1
236,Caravelas,82,BR,1575590710,85,-17.73,-39.27,23.02,4.39
237,Gayny,100,RU,1575590710,95,60.3,54.33,-4.39,4.78
238,Arraial do Cabo,90,BR,1575590711,94,-22.97,-42.02,25.0,2.1
239,Toora-Khem,19,RU,1575590711,94,52.47,96.11,-18.29,0.95
240,Severo-Kurilsk,93,RU,1575590694,84,50.68,156.12,-6.26,13.63
241,Zaltan,0,LY,1575590711,58,32.95,11.87,17.17,2.0
242,Warrnambool,100,AU,1575590711,81,-38.38,142.48,13.89,5.36
243,Concordia,0,AR,1575590711,54,-31.4,-58.02,17.45,2.27
244,Victoria,75,BN,1575590483,88,5.28,115.24,26.0,3.76
245,Qasigiannguit,20,GL,1575590711,42,68.82,-51.19,-14.0,4.1
246,Pangnirtung,90,CA,1575590711,66,66.15,-65.72,-12.0,4.1
247,Yelizovo,96,RU,1575590712,85,53.19,158.38,-12.0,2.0
248,Pa Sang,20,TH,1575590712,59,18.53,98.94,18.0,3.1
249,Bambous Virieux,20,MU,1575590694,94,-20.34,57.76,24.44,2.1
250,Kirksville,90,US,1575590712,57,40.19,-92.58,10.0,3.1
251,Mandalgovi,0,MN,1575590712,52,45.76,106.27,-11.33,3.41
252,Flinders,70,AU,1575590709,31,-34.58,150.85,26.0,4.1
253,Codrington,0,AU,1575590712,24,-28.95,153.24,35.56,1.9
254,Sambava,87,MG,1575590712,92,-14.27,50.17,21.06,1.15
255,Hofn,98,IS,1575590712,59,64.25,-15.21,2.25,7.82
256,Sohag,37,EG,1575590712,67,26.55,31.7,14.0,2.1
257,Ambanja,83,MG,1575590712,84,-13.68,48.45,25.05,1.31
258,Tambovka,35,RU,1575590713,89,47.32,47.38,-2.58,4.82
259,Aimores,37,BR,1575590713,96,-19.5,-41.06,23.2,1.55
260,Binzhou,0,CN,1575590713,61,37.38,117.96,-3.72,2.2
261,Shitanjing,0,CN,1575590713,10,39.23,106.34,-1.11,0.57
262,Namtsy,88,RU,1575590713,65,62.72,129.66,-39.0,4.0
263,Hovd,75,NO,1575590713,81,63.83,10.7,5.0,9.3
264,Yuzhno-Kurilsk,72,RU,1575590713,60,44.03,145.86,-0.95,3.62
265,Roald,100,NO,1575590695,86,62.58,6.12,5.0,7.7
266,Mezen,100,RU,1575590713,96,65.85,44.24,-6.08,2.61
267,Biak,100,ID,1575590713,79,-0.91,122.88,27.6,1.68
268,Naya Bazar,70,IN,1575590714,47,27.13,88.27,11.29,2.88
269,Hobyo,89,SO,1575590714,81,5.35,48.53,26.45,1.31
270,Si Bun Ruang,11,TH,1575590564,41,16.97,102.28,14.37,6.8
271,Tefe,99,BR,1575590714,94,-3.35,-64.71,24.0,0.67
272,El Campo,40,US,1575590714,72,29.2,-96.27,22.22,2.6
273,Baykit,93,RU,1575590674,94,61.68,96.39,-18.66,0.95
274,Krasnokamensk,0,RU,1575590715,92,50.1,118.04,-21.18,2.12
275,Saint Anthony,90,US,1575590715,80,43.97,-111.68,0.0,1.5
276,Obukhiv,0,UA,1575590715,72,50.11,30.63,1.11,3.0
277,Sao Filipe,88,CV,1575590715,78,14.9,-24.5,20.28,9.23
278,Lompoc,75,US,1575590536,77,34.64,-120.46,17.0,3.1
279,Hambantota,99,LK,1575590715,89,6.12,81.12,24.87,4.22
280,Saldanha,0,PT,1575590715,88,41.42,-6.55,5.31,3.37
281,Maceio,68,BR,1575590715,83,-9.67,-35.74,24.0,2.6
282,Quatis,100,BR,1575590715,88,-22.41,-44.26,21.73,1.12
283,Esperance,40,AU,1575590715,72,-33.86,121.89,17.0,5.1
284,Faanui,98,PF,1575590715,73,-16.48,-151.75,27.6,2.35
285,Pombas,90,BR,1575590715,83,-15.9,-54.74,24.34,3.42
286,Yulara,0,AU,1575590715,6,-25.24,130.99,31.0,3.6
287,Belmonte,0,PT,1575590716,85,40.36,-7.35,8.89,2.68
288,Zapolyarnyy,75,RU,1575590716,92,69.43,30.82,-3.0,4.1
289,Rio Gallegos,20,AR,1575590645,43,-51.62,-69.22,13.0,12.9
290,Teguise,40,ES,1575590716,82,29.06,-13.56,17.0,5.7
291,Peniche,0,PT,1575590717,66,39.36,-9.38,13.33,6.2
292,Villa Maria,40,CO,1575590717,51,4.5,-74.09,27.0,3.1
293,Manokwari,72,ID,1575590709,70,-0.87,134.08,26.71,1.82
294,Ludvika,100,SE,1575590718,81,60.15,15.18,6.0,7.2
295,Paamiut,28,GL,1575590718,25,61.99,-49.67,-5.7,2.66
296,Mecca,7,SA,1575590505,68,21.43,39.83,23.23,0.9
297,Te Anau,71,NZ,1575590664,82,-45.41,167.72,11.96,3.76
298,Lebyazhye,75,RU,1575590718,75,59.96,29.42,6.11,9.0
299,Sinnamary,100,GF,1575590718,83,5.38,-52.96,27.27,6.81
300,Ambon,90,FR,1575590718,100,47.55,-2.56,10.56,2.6
301,Sioux Lookout,90,CA,1575590718,79,50.1,-91.92,-7.0,4.6
302,Rome,40,IT,1575590636,81,41.89,12.48,11.11,2.1
303,Valdivia,65,CL,1575590718,64,-39.81,-73.25,14.48,1.59
304,Mullingar,75,IE,1575590718,100,53.53,-7.34,11.0,8.7
305,Torres,0,BR,1575590427,69,-29.34,-49.73,20.62,6.75
306,San Fernando,20,TT,1575590719,83,10.28,-61.46,26.0,2.6
307,Opuwo,23,NA,1575590719,68,-18.06,13.84,19.11,2.76
308,Tongling,93,CN,1575590719,78,30.93,117.81,6.1,5.44
309,Shaunavon,30,CA,1575590719,90,49.65,-108.41,-8.57,2.37
310,Vysokogornyy,100,RU,1575590719,97,50.1,139.13,-24.77,2.06
311,Finschhafen,100,PG,1575590719,70,-6.6,147.85,28.98,4.51
312,Cayenne,100,GF,1575590710,88,4.94,-52.33,26.0,0.5
313,Umm Kaddadah,0,SD,1575590719,21,13.6,26.69,19.25,5.6
314,Ancud,100,CL,1575590719,62,-41.87,-73.83,15.0,6.7
315,Touros,32,BR,1575590719,78,-5.2,-35.46,25.0,3.1
316,High Prairie,36,CA,1575590720,79,55.43,-116.48,-6.76,3.24
317,Yar-Sale,100,RU,1575590720,96,66.83,70.83,-14.4,1.68
318,Boca do Acre,84,BR,1575590720,90,-8.76,-67.39,24.08,1.07
319,Comodoro Rivadavia,40,AR,1575590692,49,-45.87,-67.48,22.0,2.1
320,Sao Joao da Barra,83,BR,1575590485,89,-21.64,-41.05,24.96,8.57
321,Krasnyy Chikoy,58,RU,1575590720,98,50.36,108.75,-20.74,0.94
322,Nome,1,US,1575590650,77,30.04,-94.42,20.0,2.1
323,Namibe,53,AO,1575590720,77,-15.19,12.15,21.9,1.97
324,Broken Hill,0,AU,1575590720,46,-31.97,141.45,21.0,6.7
325,Coihaique,20,CL,1575590721,54,-45.58,-72.07,14.0,7.2
326,North Platte,40,US,1575590442,60,41.12,-100.77,6.0,4.1
327,Adrar,0,DZ,1575590721,37,27.87,-0.29,12.0,2.1
328,Tonota,31,BW,1575590721,76,-21.44,27.46,17.12,5.49
329,Bukachacha,84,RU,1575590721,87,52.99,116.91,-24.1,1.18
330,Pucallpa,40,PE,1575590615,100,-8.38,-74.54,2.0,2.1
331,Stykkisholmur,87,IS,1575590721,85,65.08,-22.73,-3.25,2.42
332,Dapaong,0,TG,1575590721,10,10.86,0.2,24.18,4.16
333,Taksimo,100,RU,1575590695,93,56.36,114.84,-22.73,0.95
334,Lasa,20,CY,1575590722,62,34.92,32.53,12.0,4.6
335,Corralillo,41,CU,1575590722,77,22.98,-80.59,21.36,5.03
336,Cervo,100,BR,1575590722,97,-22.19,-46.24,18.93,1.65
337,Grindavik,75,IS,1575590722,71,63.84,-22.43,0.0,5.7
338,Itanhem,63,BR,1575590722,84,-17.17,-40.33,21.37,1.58
339,Sampit,95,ID,1575590722,78,-2.54,112.95,27.14,0.69
340,Hami,4,CN,1575590722,59,42.84,93.51,-7.39,0.9
341,San Patricio,0,PY,1575590722,48,-26.98,-56.83,19.12,2.66
342,Kuliyapitiya,40,LK,1575590722,100,7.47,80.04,24.0,2.1
343,Jinchang,0,CN,1575590722,21,38.52,102.19,-6.07,1.05
344,Gasa,41,BT,1575590722,46,27.91,89.73,-8.69,0.86
345,Barbalha,86,BR,1575590722,40,-7.31,-39.3,24.43,2.2
346,Whitecourt,75,CA,1575590723,78,54.14,-115.68,-8.0,3.1
347,Miri,0,NG,1575590723,28,10.31,9.75,20.34,1.66
348,Ajaccio,90,FR,1575590723,81,41.93,8.74,12.0,2.1
349,Mae Sai,0,MM,1575590723,100,20.44,99.89,12.0,3.6
350,Westport,90,US,1575590723,59,41.14,-73.36,4.44,4.1
351,Ordzhonikidze,0,UA,1575590723,52,44.96,35.36,6.53,2.28
352,San Andres,27,PH,1575590723,85,13.32,122.68,26.05,1.33
353,Muyezerskiy,100,RU,1575590723,97,63.93,31.65,0.12,6.84
354,Ola,100,RU,1575590723,88,59.58,151.3,-20.69,6.95
355,Tuktoyaktuk,90,CA,1575590723,77,69.44,-133.03,-18.0,9.8
356,Prince Albert,75,CA,1575590452,78,53.2,-105.75,-10.0,3.6
357,Hrusovany nad Jevisovkou,90,CZ,1575590724,86,48.83,16.4,0.56,4.1
358,Yenagoa,7,NG,1575590724,91,4.92,6.26,24.71,1.23
359,Yaan,0,NG,1575590718,31,7.38,8.57,25.67,0.99
360,Halifax,40,CA,1575590480,83,44.65,-63.58,2.0,6.7
361,Luba,90,PH,1575590724,90,17.32,120.7,23.68,2.26
362,Beyneu,0,KZ,1575590724,79,45.32,55.19,-1.07,5.55
363,Tiarei,90,PF,1575590724,83,-17.53,-149.33,27.0,6.2
364,Lakes Entrance,76,AU,1575590724,54,-37.88,147.99,19.44,0.89
365,Lircay,75,PE,1575590724,67,-12.99,-74.72,15.0,2.1
366,Alofi,75,NU,1575590724,74,-19.06,-169.92,29.0,4.1
367,Camacha,40,PT,1575590724,63,33.08,-16.33,18.0,9.3
368,Borba,97,BR,1575590724,78,-4.39,-59.59,26.68,0.69
369,Puerto Carreno,20,CO,1575590725,62,6.19,-67.49,31.0,2.1
